File Name,Power Supply (V),TX Current (A),TX Amplitude (V),TX Frequency (Hz),Current Probe Frequency (Hz),Current Probe Amplitude (A),Current Probe Average (V)
meas01,5.0524,6.7537,125.21,120070.0,120020.0,1.8685,-0.00365713
meas02,6.0741,8.3585,150.25,120260.0,120060.0,2.2365,-0.0045194
meas03,7.0524,9.4284,178.63,120190.0,120080.0,2.6057,-0.005248910000000001
meas04,8.1049,10.431,200.34,120260.0,120050.0,2.9894,-0.0061281999999999994
meas05,9.0789,11.635,224.54,120070.0,120060.0,3.3337,-0.006957329999999999
meas06,10.715,14.51,268.79,119990.0,120060.0,3.9368,-0.00833248
meas07,11.206,15.38,277.97,120110.0,120020.0,4.1089,-0.00875219
meas08,12.055,16.583,304.68,119980.0,120060.0,4.4335,-0.00938826
meas09,13.158,17.988,333.06,120160.0,120030.0,4.8527,-0.01032782
meas10,14.016,19.057,353.09,120010.0,120030.0,5.1509,-0.01111474
meas11,15.04,20.863,382.31,119960.0,120040.0,5.5675,-0.01201482
meas12,16.05,22.067,409.02,120070.0,120050.0,5.9236,-0.01284719
meas13,17.047,23.872,434.9,120150.0,120060.0,6.323,-0.01368412
meas14,18.036,24.875,462.45,120070.0,120030.0,6.7015,-0.014656240000000001
meas15,18.994,26.413,484.15,120080.0,120040.0,7.0773,-0.0154934
meas16,20.185,28.085,520.88,120070.0,120040.0,7.5214,-0.01666506
meas17,21.096,29.89,532.56,120150.0,120060.0,7.8683,-0.01738329
meas18,22.307,31.829,570.96,120030.0,120040.0,8.3571,-0.01849735
meas19,23.138,32.498,595.17,119960.0,120050.0,8.6948,-0.01930759
meas20,24.091,34.17,626.89,120040.0,120040.0,9.0601,-0.020242470000000002
meas21,25.013,35.373,650.26,120150.0,120050.0,9.4964,-0.02111291
